#timestamp rating
16/01/06 -0.03
30/01/06 -0.02
30/01/06 -0.02
30/01/06 -0.04
30/01/06 -0.07
20/02/06 -0.07
20/02/06 -0.09
20/02/06 -0.11
06/03/06 -0.12
20/03/06 -0.11
20/03/06 -0.14
14/08/06 -0.14
14/08/06 -0.16
28/08/06 -0.16
28/08/06 -0.18
28/08/06 -0.20
02/10/06 -0.20
02/10/06 -0.17
02/10/06 -0.17
02/10/06 -0.17
02/10/06 -0.16
09/10/06 -0.18
09/10/06 -0.20
16/10/06 -0.20
16/10/06 -0.20
16/10/06 -0.21
30/10/06 -0.21
15/01/07 -0.18
15/01/07 -0.16
15/01/07 -0.16
15/01/07 -0.17
12/02/07 -0.17
19/02/07 -0.18
19/02/07 -0.18
19/02/07 -0.18
26/02/07 -0.17
26/02/07 -0.17
26/02/07 -0.17
05/03/07 -0.16
05/03/07 -0.13
05/03/07 -0.12
05/03/07 -0.12
05/03/07 -0.11
05/03/07 -0.11
19/03/07 -0.13
19/03/07 -0.12
19/03/07 -0.11
19/03/07 -0.10
19/03/07 -0.08
19/03/07 -0.08
05/08/07 -0.08
05/08/07 -0.08
05/08/07 -0.07
05/08/07 -0.07
05/08/07 -0.07
13/08/07 -0.08
27/08/07 -0.08
27/08/07 -0.08
27/08/07 -0.07
27/08/07 -0.07
27/08/07 -0.07
27/08/07 -0.06
27/08/07 -0.07
07/10/07 -0.05
07/10/07 -0.06
07/10/07 -0.06
07/10/07 -0.06
07/10/07 -0.05
15/10/07 -0.05
15/10/07 -0.06
15/10/07 -0.06
15/10/07 -0.07
28/10/07 -0.09
12/11/07 -0.10
12/11/07 -0.09
12/11/07 -0.10
14/01/08 -0.09
14/01/08 -0.08
14/01/08 -0.07
14/01/08 -0.06
14/01/08 -0.05
14/01/08 -0.04
14/01/08 -0.05
11/02/08 -0.05
11/02/08 -0.06
03/03/08 -0.06
03/03/08 -0.06
03/03/08 -0.05
03/03/08 -0.05
13/03/08 -0.05
13/03/08 -0.05
13/03/08 -0.04
13/03/08 -0.04
13/03/08 -0.03
13/03/08 -0.03
27/03/08 -0.03
21/07/08 -0.03
21/07/08 -0.03
21/07/08 -0.04
28/07/08 -0.05
28/07/08 -0.03
28/07/08 -0.04
28/07/08 -0.03
28/07/08 -0.04
11/08/08 -0.04
11/08/08 -0.03
11/08/08 -0.03
11/08/08 -0.03
11/08/08 -0.03
25/08/08 -0.03
25/08/08 -0.04
25/08/08 -0.04
25/08/08 -0.04
25/08/08 -0.03
25/08/08 -0.04
22/09/08 -0.03
22/09/08 -0.03
22/09/08 -0.02
22/09/08 -0.03
12/10/08 -0.03
12/10/08 -0.04
26/10/08 -0.03
26/10/08 -0.03
09/11/08 -0.03
